2022-10-10 18:16:24,869 - ERROR - Rank 0 | Episode Reward: 3584.17 | Success cnt: 10 | Local Step: 1000 | Global Episode: 4 | Global Worker Step: 4000| Sparsification ratio : 13.595
2022-10-10 18:18:13,310 - ERROR - Rank 0 | Episode Reward: 3578.22 | Success cnt: 10 | Local Step: 1000 | Global Episode: 9 | Global Worker Step: 9000| Sparsification ratio : 32.447
2022-10-10 18:20:02,915 - ERROR - Rank 0 | Episode Reward: 3584.97 | Success cnt: 10 | Local Step: 1000 | Global Episode: 14 | Global Worker Step: 14000| Sparsification ratio : 61.804
2022-10-10 18:21:49,930 - ERROR - Rank 0 | Episode Reward: 3535.90 | Success cnt: 7 | Local Step: 1000 | Global Episode: 19 | Global Worker Step: 19000| Sparsification ratio : 67.609
2022-10-10 18:23:39,849 - ERROR - Rank 0 | Episode Reward: 3565.14 | Success cnt: 10 | Local Step: 1000 | Global Episode: 24 | Global Worker Step: 24000| Sparsification ratio : 77.170
2022-10-10 18:25:29,190 - ERROR - Rank 0 | Episode Reward: 3567.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 29 | Global Worker Step: 29000| Sparsification ratio : 81.920
2022-10-10 18:27:17,694 - ERROR - Rank 0 | Episode Reward: 3568.07 | Success cnt: 10 | Local Step: 1000 | Global Episode: 32 | Global Worker Step: 32000| Sparsification ratio : 80.495
2022-10-10 18:29:06,320 - ERROR - Rank 0 | Episode Reward: 3573.97 | Success cnt: 10 | Local Step: 1000 | Global Episode: 37 | Global Worker Step: 37000| Sparsification ratio : 84.239
2022-10-10 18:30:55,025 - ERROR - Rank 0 | Episode Reward: 3574.44 | Success cnt: 10 | Local Step: 1000 | Global Episode: 42 | Global Worker Step: 42000| Sparsification ratio : 87.307
2022-10-10 18:32:43,098 - ERROR - Rank 0 | Episode Reward: 3561.94 | Success cnt: 10 | Local Step: 1000 | Global Episode: 47 | Global Worker Step: 47000| Sparsification ratio : 87.342
2022-10-10 18:34:30,878 - ERROR - Rank 0 | Episode Reward: 3510.67 | Success cnt: 9 | Local Step: 802 | Global Episode: 52 | Global Worker Step: 52000| Sparsification ratio : 87.946
2022-10-10 18:36:19,772 - ERROR - Rank 0 | Episode Reward: 3576.51 | Success cnt: 10 | Local Step: 1000 | Global Episode: 57 | Global Worker Step: 57000| Sparsification ratio : 89.999
2022-10-10 18:38:08,262 - ERROR - Rank 0 | Episode Reward: 3576.99 | Success cnt: 10 | Local Step: 1000 | Global Episode: 62 | Global Worker Step: 62000| Sparsification ratio : 90.408
2022-10-10 18:39:57,913 - ERROR - Rank 0 | Episode Reward: 3572.09 | Success cnt: 10 | Local Step: 1000 | Global Episode: 66 | Global Worker Step: 66000| Sparsification ratio : 91.428
2022-10-10 18:41:46,579 - ERROR - Rank 0 | Episode Reward: 3570.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 70 | Global Worker Step: 70000| Sparsification ratio : 92.121
2022-10-10 18:43:35,165 - ERROR - Rank 0 | Episode Reward: 3569.75 | Success cnt: 10 | Local Step: 1000 | Global Episode: 75 | Global Worker Step: 75000| Sparsification ratio : 93.625
2022-10-10 18:45:22,963 - ERROR - Rank 0 | Episode Reward: 3554.81 | Success cnt: 9 | Local Step: 1000 | Global Episode: 80 | Global Worker Step: 80000| Sparsification ratio : 94.136
2022-10-10 18:47:11,527 - ERROR - Rank 0 | Episode Reward: 3575.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 85 | Global Worker Step: 84904| Sparsification ratio : 94.161
2022-10-10 18:48:59,661 - ERROR - Rank 0 | Episode Reward: 3565.74 | Success cnt: 9 | Local Step: 1000 | Global Episode: 90 | Global Worker Step: 89577| Sparsification ratio : 93.625
2022-10-10 18:50:47,788 - ERROR - Rank 0 | Episode Reward: 3558.14 | Success cnt: 9 | Local Step: 1000 | Global Episode: 95 | Global Worker Step: 94577| Sparsification ratio : 94.109
2022-10-10 18:52:35,214 - ERROR - Rank 0 | Episode Reward: 3502.56 | Success cnt: 9 | Local Step: 1000 | Global Episode: 100 | Global Worker Step: 99577| Sparsification ratio : 95.053
2022-10-10 18:54:24,555 - ERROR - Rank 0 | Episode Reward: 3571.84 | Success cnt: 10 | Local Step: 1000 | Global Episode: 105 | Global Worker Step: 104577| Sparsification ratio : 94.246
2022-10-10 18:56:13,911 - ERROR - Rank 0 | Episode Reward: 3566.99 | Success cnt: 10 | Local Step: 1000 | Global Episode: 109 | Global Worker Step: 108577| Sparsification ratio : 94.698
2022-10-10 18:58:03,773 - ERROR - Rank 0 | Episode Reward: 3564.40 | Success cnt: 10 | Local Step: 1000 | Global Episode: 114 | Global Worker Step: 113577| Sparsification ratio : 95.739
2022-10-10 18:59:52,695 - ERROR - Rank 0 | Episode Reward: 3574.70 | Success cnt: 10 | Local Step: 1000 | Global Episode: 118 | Global Worker Step: 117577| Sparsification ratio : 95.158
2022-10-10 19:01:41,851 - ERROR - Rank 0 | Episode Reward: 3568.13 | Success cnt: 10 | Local Step: 1000 | Global Episode: 123 | Global Worker Step: 122577| Sparsification ratio : 95.264
2022-10-10 19:03:28,596 - ERROR - Rank 0 | Episode Reward: 3484.28 | Success cnt: 9 | Local Step: 1000 | Global Episode: 128 | Global Worker Step: 127577| Sparsification ratio : 95.481
2022-10-10 19:05:16,288 - ERROR - Rank 0 | Episode Reward: 3551.22 | Success cnt: 9 | Local Step: 1000 | Global Episode: 133 | Global Worker Step: 132577| Sparsification ratio : 95.932
2022-10-10 19:07:04,701 - ERROR - Rank 0 | Episode Reward: 3567.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 138 | Global Worker Step: 137553| Sparsification ratio : 95.620
2022-10-10 19:08:54,091 - ERROR - Rank 0 | Episode Reward: 3564.09 | Success cnt: 10 | Local Step: 1000 | Global Episode: 143 | Global Worker Step: 142553| Sparsification ratio : 96.283
2022-10-10 19:10:44,150 - ERROR - Rank 0 | Episode Reward: 3572.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 147 | Global Worker Step: 146553| Sparsification ratio : 96.041
2022-10-10 19:12:32,945 - ERROR - Rank 0 | Episode Reward: 3567.04 | Success cnt: 10 | Local Step: 1000 | Global Episode: 152 | Global Worker Step: 151553| Sparsification ratio : 96.145
