2022-09-26 16:02:44,854 - ERROR - Rank 0 | Episode Reward: 601.03 | Success cnt: 0 | Local Step: 1000 | Global Episode: 11 | Global Worker Step: 11000
2022-09-26 16:11:55,651 - ERROR - Rank 0 | Episode Reward: 1783.45 | Success cnt: 0 | Local Step: 1000 | Global Episode: 21 | Global Worker Step: 21000
2022-09-26 16:21:05,747 - ERROR - Rank 0 | Episode Reward: 2497.43 | Success cnt: 9 | Local Step: 1000 | Global Episode: 31 | Global Worker Step: 31000
2022-09-26 16:30:15,983 - ERROR - Rank 0 | Episode Reward: 3014.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 41 | Global Worker Step: 41000
2022-09-26 16:39:25,646 - ERROR - Rank 0 | Episode Reward: 3305.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 51 | Global Worker Step: 51000
2022-09-26 16:48:36,419 - ERROR - Rank 0 | Episode Reward: 3738.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 61 | Global Worker Step: 61000
2022-09-26 16:57:46,850 - ERROR - Rank 0 | Episode Reward: 4044.70 | Success cnt: 10 | Local Step: 1000 | Global Episode: 71 | Global Worker Step: 71000
2022-09-26 17:06:58,227 - ERROR - Rank 0 | Episode Reward: 3647.90 | Success cnt: 9 | Local Step: 1000 | Global Episode: 81 | Global Worker Step: 81000
2022-09-26 17:16:09,506 - ERROR - Rank 0 | Episode Reward: 4287.32 | Success cnt: 10 | Local Step: 1000 | Global Episode: 91 | Global Worker Step: 91000
2022-09-26 17:25:20,145 - ERROR - Rank 0 | Episode Reward: 4319.28 | Success cnt: 10 | Local Step: 1000 | Global Episode: 101 | Global Worker Step: 101000
2022-09-26 17:34:30,271 - ERROR - Rank 0 | Episode Reward: 4295.52 | Success cnt: 10 | Local Step: 1000 | Global Episode: 111 | Global Worker Step: 111000
2022-09-26 17:43:40,412 - ERROR - Rank 0 | Episode Reward: 3882.69 | Success cnt: 9 | Local Step: 1000 | Global Episode: 121 | Global Worker Step: 121000
2022-09-26 17:52:50,563 - ERROR - Rank 0 | Episode Reward: 4661.08 | Success cnt: 10 | Local Step: 1000 | Global Episode: 131 | Global Worker Step: 131000
2022-09-26 18:02:00,615 - ERROR - Rank 0 | Episode Reward: 4681.44 | Success cnt: 10 | Local Step: 1000 | Global Episode: 141 | Global Worker Step: 141000
