2022-09-29 14:34:34,559 - ERROR - Rank 0 | Episode Reward: 9923.22 | Success cnt: 10 | Local Step: 1000 | Global Episode: 396 | Global Worker Step: 396000
2022-09-29 14:37:45,213 - ERROR - Rank 0 | Episode Reward: 9951.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 406 | Global Worker Step: 406000
2022-09-29 14:40:53,593 - ERROR - Rank 0 | Episode Reward: 9739.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 415 | Global Worker Step: 415000
2022-09-29 14:44:02,224 - ERROR - Rank 0 | Episode Reward: 9841.45 | Success cnt: 10 | Local Step: 1000 | Global Episode: 424 | Global Worker Step: 424000
2022-09-29 14:48:02,184 - ERROR - Rank 0 | Episode Reward: 9903.54 | Success cnt: 10 | Local Step: 1000 | Global Episode: 436 | Global Worker Step: 436000
2022-09-29 14:51:10,952 - ERROR - Rank 0 | Episode Reward: 9815.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 446 | Global Worker Step: 446000
2022-09-29 14:54:20,272 - ERROR - Rank 0 | Episode Reward: 9813.97 | Success cnt: 10 | Local Step: 1000 | Global Episode: 455 | Global Worker Step: 455000
2022-09-29 14:57:30,806 - ERROR - Rank 0 | Episode Reward: 9859.13 | Success cnt: 10 | Local Step: 1000 | Global Episode: 464 | Global Worker Step: 464000
2022-09-29 15:01:32,075 - ERROR - Rank 0 | Episode Reward: 9875.40 | Success cnt: 10 | Local Step: 1000 | Global Episode: 477 | Global Worker Step: 477000
2022-09-29 15:04:40,874 - ERROR - Rank 0 | Episode Reward: 9761.94 | Success cnt: 10 | Local Step: 1000 | Global Episode: 487 | Global Worker Step: 487000
2022-09-29 15:07:48,331 - ERROR - Rank 0 | Episode Reward: 9817.06 | Success cnt: 10 | Local Step: 1000 | Global Episode: 495 | Global Worker Step: 495000
2022-09-29 15:10:56,702 - ERROR - Rank 0 | Episode Reward: 9778.19 | Success cnt: 10 | Local Step: 1000 | Global Episode: 505 | Global Worker Step: 505000
2022-09-29 15:14:07,388 - ERROR - Rank 0 | Episode Reward: 9842.82 | Success cnt: 10 | Local Step: 1000 | Global Episode: 514 | Global Worker Step: 514000
2022-09-29 15:18:09,593 - ERROR - Rank 0 | Episode Reward: 9842.53 | Success cnt: 10 | Local Step: 1000 | Global Episode: 526 | Global Worker Step: 526000
2022-09-29 15:21:17,057 - ERROR - Rank 0 | Episode Reward: 9910.27 | Success cnt: 10 | Local Step: 1000 | Global Episode: 536 | Global Worker Step: 536000
2022-09-29 15:24:26,968 - ERROR - Rank 0 | Episode Reward: 9890.01 | Success cnt: 10 | Local Step: 1000 | Global Episode: 545 | Global Worker Step: 545000
2022-09-29 15:27:38,835 - ERROR - Rank 0 | Episode Reward: 10001.34 | Success cnt: 10 | Local Step: 1000 | Global Episode: 554 | Global Worker Step: 554000
2022-09-29 15:31:40,912 - ERROR - Rank 0 | Episode Reward: 9980.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 567 | Global Worker Step: 567000
2022-09-29 15:34:50,958 - ERROR - Rank 0 | Episode Reward: 9890.59 | Success cnt: 10 | Local Step: 1000 | Global Episode: 577 | Global Worker Step: 577000
2022-09-29 15:38:00,375 - ERROR - Rank 0 | Episode Reward: 9920.05 | Success cnt: 10 | Local Step: 1000 | Global Episode: 585 | Global Worker Step: 585000
2022-09-29 15:41:08,272 - ERROR - Rank 0 | Episode Reward: 9972.57 | Success cnt: 10 | Local Step: 1000 | Global Episode: 595 | Global Worker Step: 595000
2022-09-29 15:44:16,999 - ERROR - Rank 0 | Episode Reward: 9686.37 | Success cnt: 10 | Local Step: 1000 | Global Episode: 605 | Global Worker Step: 605000
2022-09-29 15:47:25,439 - ERROR - Rank 0 | Episode Reward: 9878.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 613 | Global Worker Step: 613000
2022-09-29 15:51:24,798 - ERROR - Rank 0 | Episode Reward: 9897.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 626 | Global Worker Step: 626000
2022-09-29 15:54:35,196 - ERROR - Rank 0 | Episode Reward: 9978.81 | Success cnt: 10 | Local Step: 1000 | Global Episode: 636 | Global Worker Step: 636000
2022-09-29 15:57:44,244 - ERROR - Rank 0 | Episode Reward: 9885.53 | Success cnt: 10 | Local Step: 1000 | Global Episode: 644 | Global Worker Step: 644000
2022-09-29 16:01:45,631 - ERROR - Rank 0 | Episode Reward: 9868.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 657 | Global Worker Step: 657000
2022-09-29 16:04:55,338 - ERROR - Rank 0 | Episode Reward: 9888.39 | Success cnt: 10 | Local Step: 1000 | Global Episode: 667 | Global Worker Step: 667000
2022-09-29 16:08:03,576 - ERROR - Rank 0 | Episode Reward: 9734.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 675 | Global Worker Step: 675000
2022-09-29 16:11:12,657 - ERROR - Rank 0 | Episode Reward: 9762.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 685 | Global Worker Step: 685000
