2022-09-28 20:52:15,648 - ERROR - Rank 0 | Episode Reward: 3481.43 | Success cnt: 8 | Local Step: 807 | Global Episode: 228 | Global Worker Step: 226672
2022-09-28 20:56:08,853 - ERROR - Rank 0 | Episode Reward: 3564.41 | Success cnt: 10 | Local Step: 1000 | Global Episode: 475 | Global Worker Step: 472939
2022-09-28 21:00:06,728 - ERROR - Rank 0 | Episode Reward: 3581.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 723 | Global Worker Step: 720267
2022-09-28 21:04:04,552 - ERROR - Rank 0 | Episode Reward: 3557.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 969 | Global Worker Step: 965731
2022-09-28 21:07:59,894 - ERROR - Rank 0 | Episode Reward: 3499.46 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1214 | Global Worker Step: 1209709
2022-09-28 21:11:56,944 - ERROR - Rank 0 | Episode Reward: 3580.35 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1461 | Global Worker Step: 1455807
2022-09-28 21:15:52,019 - ERROR - Rank 0 | Episode Reward: 3501.15 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1706 | Global Worker Step: 1699698
2022-09-28 21:19:47,271 - ERROR - Rank 0 | Episode Reward: 3546.27 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1952 | Global Worker Step: 1944310
2022-09-28 21:23:45,454 - ERROR - Rank 0 | Episode Reward: 3583.67 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2201 | Global Worker Step: 2192435
2022-09-28 21:27:42,962 - ERROR - Rank 0 | Episode Reward: 3576.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2447 | Global Worker Step: 2438090
2022-09-28 21:31:40,810 - ERROR - Rank 0 | Episode Reward: 3577.30 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2696 | Global Worker Step: 2685484
2022-09-28 21:35:37,869 - ERROR - Rank 0 | Episode Reward: 3565.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 2944 | Global Worker Step: 2932849
2022-09-28 21:40:33,275 - ERROR - Rank 0 | Episode Reward: 3563.13 | Success cnt: 10 | Local Step: 1000 | Global Episode: 3252 | Global Worker Step: 3239526
2022-09-28 21:45:30,365 - ERROR - Rank 0 | Episode Reward: 3563.40 | Success cnt: 10 | Local Step: 1000 | Global Episode: 3561 | Global Worker Step: 3546704
2022-09-28 21:51:44,569 - ERROR - Rank 0 | Episode Reward: 3570.27 | Success cnt: 10 | Local Step: 1000 | Global Episode: 3950 | Global Worker Step: 3934699
2022-09-28 21:57:57,894 - ERROR - Rank 0 | Episode Reward: 3585.01 | Success cnt: 10 | Local Step: 1000 | Global Episode: 4338 | Global Worker Step: 4321306
2022-09-28 22:04:11,789 - ERROR - Rank 0 | Episode Reward: 3572.12 | Success cnt: 10 | Local Step: 1000 | Global Episode: 4727 | Global Worker Step: 4709468
2022-09-28 22:10:24,818 - ERROR - Rank 0 | Episode Reward: 3566.83 | Success cnt: 10 | Local Step: 1000 | Global Episode: 5115 | Global Worker Step: 5096215
2022-09-28 22:16:37,928 - ERROR - Rank 0 | Episode Reward: 3566.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 5504 | Global Worker Step: 5483272
2022-09-28 22:22:51,513 - ERROR - Rank 0 | Episode Reward: 3575.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 5892 | Global Worker Step: 5869838
2022-09-28 22:27:27,734 - ERROR - Rank 0 | Episode Reward: 3573.40 | Success cnt: 10 | Local Step: 1000 | Global Episode: 6028 | Global Worker Step: 6005649
