2022-10-04 20:14:29,132 - ERROR - Rank 0 | Episode Reward: 9988.65 | Success cnt: 10 | Local Step: 1000 | Global Episode: 158 | Global Worker Step: 158000| Sparsification ratio : 88.529
2022-10-04 20:16:18,820 - ERROR - Rank 0 | Episode Reward: 9860.13 | Success cnt: 10 | Local Step: 1000 | Global Episode: 162 | Global Worker Step: 162000| Sparsification ratio : 88.874
2022-10-04 20:18:08,061 - ERROR - Rank 0 | Episode Reward: 9343.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 167 | Global Worker Step: 167000| Sparsification ratio : 89.213
2022-10-04 20:19:57,757 - ERROR - Rank 0 | Episode Reward: 9851.32 | Success cnt: 10 | Local Step: 1000 | Global Episode: 172 | Global Worker Step: 172000| Sparsification ratio : 89.704
2022-10-04 20:21:46,379 - ERROR - Rank 0 | Episode Reward: 9759.27 | Success cnt: 10 | Local Step: 1000 | Global Episode: 176 | Global Worker Step: 176000| Sparsification ratio : 89.322
2022-10-04 20:23:36,462 - ERROR - Rank 0 | Episode Reward: 9902.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 181 | Global Worker Step: 181000| Sparsification ratio : 91.501
2022-10-04 20:25:25,477 - ERROR - Rank 0 | Episode Reward: 9905.38 | Success cnt: 10 | Local Step: 1000 | Global Episode: 186 | Global Worker Step: 186000| Sparsification ratio : 91.624
2022-10-04 20:27:13,984 - ERROR - Rank 0 | Episode Reward: 9818.81 | Success cnt: 10 | Local Step: 1000 | Global Episode: 191 | Global Worker Step: 191000| Sparsification ratio : 90.625
2022-10-04 20:29:02,539 - ERROR - Rank 0 | Episode Reward: 9736.88 | Success cnt: 10 | Local Step: 1000 | Global Episode: 196 | Global Worker Step: 196000| Sparsification ratio : 91.220
2022-10-04 20:30:51,131 - ERROR - Rank 0 | Episode Reward: 9914.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 201 | Global Worker Step: 201000| Sparsification ratio : 91.346
2022-10-04 20:32:40,802 - ERROR - Rank 0 | Episode Reward: 9931.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 205 | Global Worker Step: 205000| Sparsification ratio : 90.950
2022-10-04 20:34:30,505 - ERROR - Rank 0 | Episode Reward: 9868.89 | Success cnt: 10 | Local Step: 1000 | Global Episode: 210 | Global Worker Step: 210000| Sparsification ratio : 91.922
2022-10-04 20:36:21,462 - ERROR - Rank 0 | Episode Reward: 9875.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 214 | Global Worker Step: 214000| Sparsification ratio : 90.779
2022-10-04 20:38:11,545 - ERROR - Rank 0 | Episode Reward: 9839.97 | Success cnt: 10 | Local Step: 1000 | Global Episode: 219 | Global Worker Step: 219000| Sparsification ratio : 91.554
2022-10-04 20:39:59,737 - ERROR - Rank 0 | Episode Reward: 9971.05 | Success cnt: 10 | Local Step: 1000 | Global Episode: 224 | Global Worker Step: 224000| Sparsification ratio : 91.613
2022-10-04 20:41:49,389 - ERROR - Rank 0 | Episode Reward: 9916.28 | Success cnt: 10 | Local Step: 1000 | Global Episode: 229 | Global Worker Step: 229000| Sparsification ratio : 91.550
2022-10-04 20:43:37,672 - ERROR - Rank 0 | Episode Reward: 9809.03 | Success cnt: 10 | Local Step: 1000 | Global Episode: 234 | Global Worker Step: 234000| Sparsification ratio : 91.902
2022-10-04 20:45:26,239 - ERROR - Rank 0 | Episode Reward: 9939.80 | Success cnt: 10 | Local Step: 1000 | Global Episode: 239 | Global Worker Step: 239000| Sparsification ratio : 92.149
2022-10-04 20:47:15,978 - ERROR - Rank 0 | Episode Reward: 9534.09 | Success cnt: 10 | Local Step: 1000 | Global Episode: 243 | Global Worker Step: 243000| Sparsification ratio : 91.976
2022-10-04 20:49:04,387 - ERROR - Rank 0 | Episode Reward: 9943.62 | Success cnt: 10 | Local Step: 1000 | Global Episode: 248 | Global Worker Step: 248000| Sparsification ratio : 92.310
2022-10-04 20:50:52,585 - ERROR - Rank 0 | Episode Reward: 9765.00 | Success cnt: 10 | Local Step: 1000 | Global Episode: 253 | Global Worker Step: 253000| Sparsification ratio : 92.312
2022-10-04 20:52:41,423 - ERROR - Rank 0 | Episode Reward: 9894.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 257 | Global Worker Step: 257000| Sparsification ratio : 92.350
2022-10-04 20:54:29,904 - ERROR - Rank 0 | Episode Reward: 10024.75 | Success cnt: 10 | Local Step: 1000 | Global Episode: 262 | Global Worker Step: 262000| Sparsification ratio : 92.222
2022-10-04 20:56:18,217 - ERROR - Rank 0 | Episode Reward: 9903.09 | Success cnt: 10 | Local Step: 1000 | Global Episode: 267 | Global Worker Step: 267000| Sparsification ratio : 92.561
2022-10-04 20:58:08,827 - ERROR - Rank 0 | Episode Reward: 9761.10 | Success cnt: 10 | Local Step: 1000 | Global Episode: 272 | Global Worker Step: 272000| Sparsification ratio : 92.706
2022-10-04 20:59:56,865 - ERROR - Rank 0 | Episode Reward: 9843.56 | Success cnt: 10 | Local Step: 1000 | Global Episode: 277 | Global Worker Step: 277000| Sparsification ratio : 93.625
2022-10-04 21:01:48,073 - ERROR - Rank 0 | Episode Reward: 9887.68 | Success cnt: 10 | Local Step: 1000 | Global Episode: 281 | Global Worker Step: 281000| Sparsification ratio : 93.928
