2022-09-26 22:01:05,418 - ERROR - Rank 0 | Episode Reward: 9348.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 757 | Global Worker Step: 390359
2022-09-26 22:10:07,334 - ERROR - Rank 0 | Episode Reward: 9348.71 | Success cnt: 10 | Local Step: 1000 | Global Episode: 769 | Global Worker Step: 400001
2022-09-26 22:19:35,079 - ERROR - Rank 0 | Episode Reward: 9359.77 | Success cnt: 10 | Local Step: 1000 | Global Episode: 780 | Global Worker Step: 410116
2022-09-26 22:29:24,140 - ERROR - Rank 0 | Episode Reward: 9357.29 | Success cnt: 10 | Local Step: 1000 | Global Episode: 792 | Global Worker Step: 420616
2022-09-26 22:38:28,673 - ERROR - Rank 0 | Episode Reward: 2808.62 | Success cnt: 0 | Local Step: 300 | Global Episode: 820 | Global Worker Step: 430540
2022-09-26 22:48:06,931 - ERROR - Rank 0 | Episode Reward: 9359.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 831 | Global Worker Step: 440830
2022-09-26 22:57:29,468 - ERROR - Rank 0 | Episode Reward: 9356.06 | Success cnt: 10 | Local Step: 1000 | Global Episode: 841 | Global Worker Step: 450830
2022-09-26 23:06:52,133 - ERROR - Rank 0 | Episode Reward: 9356.34 | Success cnt: 10 | Local Step: 1000 | Global Episode: 851 | Global Worker Step: 460830
2022-09-26 23:16:14,073 - ERROR - Rank 0 | Episode Reward: 9354.53 | Success cnt: 10 | Local Step: 1000 | Global Episode: 862 | Global Worker Step: 470811
2022-09-26 23:25:36,639 - ERROR - Rank 0 | Episode Reward: 9356.72 | Success cnt: 10 | Local Step: 1000 | Global Episode: 872 | Global Worker Step: 480811
2022-09-26 23:35:06,772 - ERROR - Rank 0 | Episode Reward: 9353.81 | Success cnt: 10 | Local Step: 1000 | Global Episode: 883 | Global Worker Step: 490960
2022-09-26 23:44:29,602 - ERROR - Rank 0 | Episode Reward: 9359.00 | Success cnt: 10 | Local Step: 1000 | Global Episode: 893 | Global Worker Step: 500960
2022-09-26 23:53:40,403 - ERROR - Rank 0 | Episode Reward: 9352.63 | Success cnt: 10 | Local Step: 1000 | Global Episode: 903 | Global Worker Step: 510730
2022-09-27 00:03:14,772 - ERROR - Rank 0 | Episode Reward: 9350.60 | Success cnt: 10 | Local Step: 1000 | Global Episode: 915 | Global Worker Step: 520935
2022-09-27 00:12:34,841 - ERROR - Rank 0 | Episode Reward: 9351.63 | Success cnt: 10 | Local Step: 1000 | Global Episode: 925 | Global Worker Step: 530855
2022-09-27 00:21:13,974 - ERROR - Rank 0 | Episode Reward: 8609.23 | Success cnt: 9 | Local Step: 1000 | Global Episode: 935 | Global Worker Step: 540058
2022-09-27 00:30:38,161 - ERROR - Rank 0 | Episode Reward: 9351.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 945 | Global Worker Step: 550058
2022-09-27 00:40:01,888 - ERROR - Rank 0 | Episode Reward: 9359.15 | Success cnt: 10 | Local Step: 1000 | Global Episode: 955 | Global Worker Step: 560058
2022-09-27 00:49:24,585 - ERROR - Rank 0 | Episode Reward: 9354.44 | Success cnt: 10 | Local Step: 1000 | Global Episode: 965 | Global Worker Step: 570058
2022-09-27 00:58:46,794 - ERROR - Rank 0 | Episode Reward: 9358.68 | Success cnt: 10 | Local Step: 1000 | Global Episode: 975 | Global Worker Step: 580058
2022-09-27 01:08:08,620 - ERROR - Rank 0 | Episode Reward: 9359.27 | Success cnt: 10 | Local Step: 1000 | Global Episode: 985 | Global Worker Step: 590058
