2022-10-02 03:46:30,085 - ERROR - Rank 0 | Episode Reward: 3581.80 | Success cnt: 10 | Local Step: 1000 | Global Episode: 256 | Global Worker Step: 254350
2022-10-02 03:48:55,185 - ERROR - Rank 0 | Episode Reward: 3584.99 | Success cnt: 9 | Local Step: 1000 | Global Episode: 263 | Global Worker Step: 261350
2022-10-02 03:51:21,061 - ERROR - Rank 0 | Episode Reward: 3573.68 | Success cnt: 10 | Local Step: 1000 | Global Episode: 270 | Global Worker Step: 268350
2022-10-02 03:53:48,762 - ERROR - Rank 0 | Episode Reward: 3578.76 | Success cnt: 10 | Local Step: 1000 | Global Episode: 277 | Global Worker Step: 275350
2022-10-02 03:56:16,375 - ERROR - Rank 0 | Episode Reward: 3572.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 283 | Global Worker Step: 281033
2022-10-02 03:58:44,187 - ERROR - Rank 0 | Episode Reward: 3567.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 290 | Global Worker Step: 288033
2022-10-02 04:01:09,879 - ERROR - Rank 0 | Episode Reward: 3570.42 | Success cnt: 10 | Local Step: 1000 | Global Episode: 297 | Global Worker Step: 295033
2022-10-02 04:03:35,843 - ERROR - Rank 0 | Episode Reward: 3565.76 | Success cnt: 10 | Local Step: 1000 | Global Episode: 303 | Global Worker Step: 301033
2022-10-02 04:06:00,622 - ERROR - Rank 0 | Episode Reward: 3558.57 | Success cnt: 9 | Local Step: 1000 | Global Episode: 310 | Global Worker Step: 308033
2022-10-02 04:08:25,292 - ERROR - Rank 0 | Episode Reward: 3575.06 | Success cnt: 10 | Local Step: 1000 | Global Episode: 316 | Global Worker Step: 314033
2022-10-02 04:10:50,402 - ERROR - Rank 0 | Episode Reward: 3574.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 323 | Global Worker Step: 321033
2022-10-02 04:13:15,937 - ERROR - Rank 0 | Episode Reward: 3573.67 | Success cnt: 10 | Local Step: 1000 | Global Episode: 329 | Global Worker Step: 327033
2022-10-02 04:15:41,588 - ERROR - Rank 0 | Episode Reward: 3568.43 | Success cnt: 10 | Local Step: 1000 | Global Episode: 336 | Global Worker Step: 334033
2022-10-02 04:18:09,682 - ERROR - Rank 0 | Episode Reward: 3561.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 343 | Global Worker Step: 341033
2022-10-02 04:20:34,888 - ERROR - Rank 0 | Episode Reward: 3573.46 | Success cnt: 10 | Local Step: 1000 | Global Episode: 349 | Global Worker Step: 347033
2022-10-02 04:23:00,537 - ERROR - Rank 0 | Episode Reward: 3574.23 | Success cnt: 10 | Local Step: 1000 | Global Episode: 356 | Global Worker Step: 354033
2022-10-02 04:25:26,170 - ERROR - Rank 0 | Episode Reward: 3579.56 | Success cnt: 10 | Local Step: 1000 | Global Episode: 362 | Global Worker Step: 360033
2022-10-02 04:27:52,537 - ERROR - Rank 0 | Episode Reward: 3588.85 | Success cnt: 8 | Local Step: 1000 | Global Episode: 369 | Global Worker Step: 367033
2022-10-02 04:30:20,519 - ERROR - Rank 0 | Episode Reward: 3571.10 | Success cnt: 10 | Local Step: 1000 | Global Episode: 375 | Global Worker Step: 372832
2022-10-02 04:32:45,518 - ERROR - Rank 0 | Episode Reward: 3570.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 382 | Global Worker Step: 379832
2022-10-02 04:35:10,634 - ERROR - Rank 0 | Episode Reward: 3584.82 | Success cnt: 10 | Local Step: 1000 | Global Episode: 389 | Global Worker Step: 386832
2022-10-02 04:37:37,803 - ERROR - Rank 0 | Episode Reward: 3569.90 | Success cnt: 9 | Local Step: 1000 | Global Episode: 395 | Global Worker Step: 392832
2022-10-02 04:40:06,930 - ERROR - Rank 0 | Episode Reward: 3568.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 402 | Global Worker Step: 399832
2022-10-02 04:42:31,885 - ERROR - Rank 0 | Episode Reward: 3569.22 | Success cnt: 10 | Local Step: 1000 | Global Episode: 408 | Global Worker Step: 405832
2022-10-02 04:44:57,472 - ERROR - Rank 0 | Episode Reward: 3573.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 415 | Global Worker Step: 412832
2022-10-02 04:47:23,465 - ERROR - Rank 0 | Episode Reward: 3563.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 422 | Global Worker Step: 419832
2022-10-02 04:49:48,784 - ERROR - Rank 0 | Episode Reward: 3570.94 | Success cnt: 10 | Local Step: 1000 | Global Episode: 428 | Global Worker Step: 425832
2022-10-02 04:52:16,505 - ERROR - Rank 0 | Episode Reward: 3573.55 | Success cnt: 10 | Local Step: 1000 | Global Episode: 434 | Global Worker Step: 431740
2022-10-02 04:54:42,048 - ERROR - Rank 0 | Episode Reward: 3569.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 441 | Global Worker Step: 438740
2022-10-02 04:57:07,044 - ERROR - Rank 0 | Episode Reward: 3566.17 | Success cnt: 10 | Local Step: 1000 | Global Episode: 448 | Global Worker Step: 445740
2022-10-02 04:59:34,108 - ERROR - Rank 0 | Episode Reward: 3573.55 | Success cnt: 10 | Local Step: 1000 | Global Episode: 455 | Global Worker Step: 452740
2022-10-02 05:01:59,802 - ERROR - Rank 0 | Episode Reward: 3495.95 | Success cnt: 9 | Local Step: 1000 | Global Episode: 460 | Global Worker Step: 457740
2022-10-02 05:04:26,238 - ERROR - Rank 0 | Episode Reward: 3573.83 | Success cnt: 10 | Local Step: 1000 | Global Episode: 467 | Global Worker Step: 464740
2022-10-02 05:06:51,355 - ERROR - Rank 0 | Episode Reward: 3569.53 | Success cnt: 10 | Local Step: 1000 | Global Episode: 474 | Global Worker Step: 471740
2022-10-02 05:09:19,383 - ERROR - Rank 0 | Episode Reward: 3588.97 | Success cnt: 10 | Local Step: 1000 | Global Episode: 481 | Global Worker Step: 478740
2022-10-02 05:11:47,625 - ERROR - Rank 0 | Episode Reward: 3570.82 | Success cnt: 10 | Local Step: 1000 | Global Episode: 487 | Global Worker Step: 484740
2022-10-02 05:14:13,248 - ERROR - Rank 0 | Episode Reward: 3584.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 493 | Global Worker Step: 490740
2022-10-02 05:16:38,572 - ERROR - Rank 0 | Episode Reward: 3565.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 500 | Global Worker Step: 497740
2022-10-02 05:19:04,617 - ERROR - Rank 0 | Episode Reward: 3572.29 | Success cnt: 10 | Local Step: 1000 | Global Episode: 507 | Global Worker Step: 504740
2022-10-02 05:21:31,522 - ERROR - Rank 0 | Episode Reward: 3578.49 | Success cnt: 8 | Local Step: 1000 | Global Episode: 514 | Global Worker Step: 511667
2022-10-02 05:23:59,796 - ERROR - Rank 0 | Episode Reward: 3562.80 | Success cnt: 10 | Local Step: 1000 | Global Episode: 520 | Global Worker Step: 517495
2022-10-02 05:26:25,721 - ERROR - Rank 0 | Episode Reward: 3574.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 527 | Global Worker Step: 524495
2022-10-02 05:28:50,841 - ERROR - Rank 0 | Episode Reward: 3563.00 | Success cnt: 10 | Local Step: 1000 | Global Episode: 533 | Global Worker Step: 530495
